x_from,y_from,x_to,y_to,dist,json
-73.980408,40.728725,-73.979225,40.728725,97.0,{'durations': [[0, 97], [104.7, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.97905, 40.728963], 'name': 'East 13th Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.97905, 40.728963], 'name': 'East 13th Street'}]}
-73.980408,40.728725,-73.987267,40.728725,303.0,{'durations': [[0, 303], [225.4, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.987506, 40.728825], 'name': '2nd Avenue'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.987506, 40.728825], 'name': '2nd Avenue'}]}
-73.980408,40.728725,-74.001656,40.728725,698.6,{'durations': [[0, 698.6], [615.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-74.001596, 40.728696], 'name': 'MacDougal Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-74.001596, 40.728696], 'name': 'MacDougal Street'}]}
-73.991776,40.744263,-73.97065,40.744263,626.9,{'durations': [[0, 626.9], [676.7, 0]], 'code': 'Ok', 'sources': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.971027, 40.744502], 'name': ''}], 'destinations': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.971027, 40.744502], 'name': ''}]}
-73.991776,40.744263,-73.978241,40.744263,396.8,{'durations': [[0, 396.8], [484.9, 0]], 'code': 'Ok', 'sources': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.978319, 40.744156], 'name': 'East 32nd Street'}], 'destinations': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.978319, 40.744156], 'name': 'East 32nd Street'}]}
-73.991776,40.744263,-73.980408,40.744263,432.3,{'durations': [[0, 432.3], [366.5, 0]], 'code': 'Ok', 'sources': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.980375, 40.744285], 'name': 'Windsor Court'}], 'destinations': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.980375, 40.744285], 'name': 'Windsor Court'}]}
-73.991776,40.744263,-73.954681,40.744263,839.7,{'durations': [[0, 839.7], [980, 0]], 'code': 'Ok', 'sources': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.954668, 40.744302], 'name': '48th Avenue'}], 'destinations': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.954668, 40.744302], 'name': '48th Avenue'}]}
-73.991776,40.744263,-73.980957,40.744263,416.8,{'durations': [[0, 416.8], [344.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.980861, 40.744394], 'name': 'East 31st Street'}], 'destinations': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.980861, 40.744394], 'name': 'East 31st Street'}]}
-73.991776,40.744263,-73.987419,40.744263,195.0,{'durations': [[0, 195], [114, 0]], 'code': 'Ok', 'sources': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.98756, 40.744322], 'name': '5th Avenue'}], 'destinations': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.98756, 40.744322], 'name': '5th Avenue'}]}
-73.991776,40.744263,-73.957848,40.744263,864.3,{'durations': [[0, 864.3], [958.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.957868, 40.744206], 'name': '49th Avenue'}], 'destinations': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.957868, 40.744206], 'name': '49th Avenue'}]}
-73.991776,40.744263,-73.971481,40.744263,989.0,{'durations': [[0, 989], [633.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.97145, 40.744252], 'name': 'FDR Drive'}], 'destinations': [{'location': [-73.991805, 40.744275], 'name': '6th Avenue'}, {'location': [-73.97145, 40.744252], 'name': 'FDR Drive'}]}
